spanish,english,POS,lemma,lemma_valid
absoluto,absolute,ADJ,absoluto,True
actual,current (adj),ADJ,actual,True
adecuado,"adequate, suitable",ADJ,adecuado,True
alemán,German,ADJ,alemán,True
amplio,"wide, ample, broad",ADJ,amplio,True
azul,blue,ADJ,azul,True
cercano,near,ADJ,cercano,True
cerrado,closed,ADJ,cerrado,True
civil,civil (adj),ADJ,civil,True
concreto,"concrete, real",ADJ,concreto,True
conocido,"known, well-known",ADJ,conocido,True
corriente,"current, flow (nf)",NOUN,corriente,True
corto,"short, brief",ADJ,corto,True
cuánto,how much?,ADJ,No examples found,False
cuarto,"room, chamber (nm)",NOUN,cuarto,True
dado,given,ADJ,ChatGPT doesn't think this is a valid POS tag,False
debido; debido a,due to,ADJ,Too many tokens,False
definitivo,"definitive, conclusive",ADJ,definitivo,True
determinado,"determined, fixed",ADJ,determinado,True
diario,newspaper (nm),NOUN,diario,True
directo,"direct, straight",ADJ,directo,True
dispuesto,"willing, ready",ADJ,dispuesto,True
diverso,"different, several, diverse",ADJ,diverso,True
duro,hard (adj),ADJ,duro,True
enfermo,"ill, sick",ADJ,No examples found,False
entero,"entire, whole, complete",ADJ,entero,True
exacto,"exact, faithful, true",ADJ,exacto,True
extraño,"strange, foreign",ADJ,extraño,True
extraordinario,"extraordinary, exceptional",ADJ,extraordinario,True
fácil,easy,ADJ,fácil,True
familiar,"familiar, of the family (adj)",ADJ,familiar,True
famoso,"famous, well-known",ADJ,famoso,True
feliz,"happy, fortunate",ADJ,feliz,True
físico,physical (adj),ADJ,físico,True
francés,French,ADJ,francés,True
frío,cold (adj),ADJ,frío,True
futuro,future (nm),NOUN,futuro,True
grave,"serious, solemn",ADJ,grave,True
histórico,historical,ADJ,histórico,True
imposible,impossible,ADJ,imposible,True
inglés,English,ADJ,inglés,True
inmediato,immediate,ADJ,inmediato,True
interesante,interesting,ADJ,interesante,True
interior,"interior, inside (nm)",NOUN,interior,True
interno,internal,ADJ,interno,True
italiano,Italian,ADJ,italiano,True
justo,just (adv),ADV,justo,True
lleno,"full, filled (as an object would de filled)",ADJ,lleno,True
maestro,"teacher (m), master (nm)",NOUN,maestro,True
mas,"but, however",CCONJ,ChatGPT doesn't think this is a valid POS tag,False
material,"material, element (nm)",NOUN,material,True
médico,doctor (nm/f),NOUN,médico,True
militar,military (adj),ADJ,militar,True
mínimo,minimum (adj),ADJ,mínimo,True
moderno,modern,ADJ,moderno,True
muerto,dead (adj),ADJ,muerto,True
nacional,national,ADJ,nacional,True
normal,"normal, usual, regular",ADJ,normal,True
oscuro,"dark, obscure",ADJ,oscuro,True
parecido,similar [also similar],ADJ,parecido,True
particular,"particular, peculiar (adj)",ADJ,particular,True
peor,worse (adv),ADV,ChatGPT doesn't think this is a valid POS tag,False
perdido,lost,ADJ,perdido,True
perfecto,perfect,ADJ,perfecto,True
personal,personal (adj),ADJ,personal,True
plano,"plane, map, level (nm)",NOUN,plano,True
pleno,"complete, fulfilled (as emotionally)",ADJ,pleno,True
popular,popular,ADJ,popular,True
preciso,"precise, necessary",ADJ,preciso,True
presente,present (nm),NOUN,presente,True
privado,private,ADJ,privado,True
profesional,professional,ADJ,profesional,True
puro,"pure, clean",ADJ,puro,True
rápido,"quick, fast",ADJ,rápido,True
raro,"strange, rare, scarce",ADJ,raro,True
religioso,religious,ADJ,religioso,True
responsable,responsible,ADJ,responsable,True
rico,"rich, tasty",ADJ,rico,True
rojo,red,ADJ,rojo,True
sencillo,"simple, plain, easy",ADJ,sencillo,True
serio,serious,ADJ,serio,True
simple,"simple, mere, simple-minded",ADJ,simple,True
suficiente,"sufficient, enough",ADJ,suficiente,True
superior,"superior, upper",ADJ,superior,True
supuesto; por supuesto,supposed: of course,ADJ,Too many tokens,False
total,"total, entire (adj)",ADJ,total,True
unido,united,ADJ,unido,True
verde,green,ADJ,verde,True
abajo,"down, below, downward",ADV,abajo,True
adelante,"forward, further",ADV,adelante,True
alrededor,"about, around, round (adv)",ADV,alrededor,True
apenas,"hardly, barely",ADV,apenas,True
arriba,up above,ADV,arriba,True
aun,"even (though), still",ADV,aun,True
completamente,completely,ADV,completamente,True
debajo,"underneath, below",ADV,debajo,True
delante,"in front of, ahead",ADV,delante,True
detrás,in the back,ADV,detrás,True
directamente,"directly, straight away",ADV,directamente,True
especialmente,especially,ADV,especialmente,True
exactamente,exactly,ADV,exactamente,True
finalmente,"finally, at last",ADV,finalmente,True
inmediatamente,immediately,ADV,inmediatamente,True
jamás,never,ADV,jamás,True
junto,together (adj),ADJ,junto,True
perfectamente,perfectly,ADV,perfectamente,True
precisamente,precisely,ADV,precisamente,True
probablemente,probably,ADV,probablemente,True
recién,"recently, just",ADV,recién,True
salvo,"except for, but",ADV,ChatGPT doesn't think this is a valid POS tag,False
seguramente,"surely, securely",ADV,seguramente,True
simplemente,"simply, just",ADV,simplemente,True
siquiera,even if,ADV,siquiera,True
totalmente,"totally, completely",ADV,totalmente,True
artista,"artist, performer",NOUN,artista,True
joven,"teenager, young person (nc)",NOUN,joven,True
modelo,"model, pattern",NOUN,modelo,True
actitud,attitude,NOUN,actitud,True
altura,"height, altitude",NOUN,altura,True
autoridad,authority,NOUN,autoridad,True
ayuda,"help, aid",NOUN,ayuda,True
boca,"mouth, entrance, opening",NOUN,boca,True
calidad,quality,NOUN,calidad,True
capacidad,capacity,NOUN,capacidad,True
carne,"meat, flesh",NOUN,carne,True
carta,"letter, playing card",NOUN,carta,True
causa,cause,NOUN,causa,True
ciencia,"science, knowledge",NOUN,ciencia,True
circunstancia,circumstance,NOUN,circunstancia,True
comida,"food, meal",NOUN,comida,True
compañía,company,NOUN,compañía,True
comunicación,communication,NOUN,comunicación,True
conciencia,"conscience, consciousness",NOUN,conciencia,True
confianza,"confidence, trust",NOUN,confianza,True
consecuencia,consequence,NOUN,consecuencia,True
construcción,construction,NOUN,construcción,True
conversación,conversation,NOUN,conversación,True
costumbre,"habit, custom, usage",NOUN,costumbre,True
cultura,culture,NOUN,cultura,True
decisión,decision,NOUN,decisión,True
defensa,"defense, plea",NOUN,defensa,True
dificultad,"difficulty, obstacle",NOUN,dificultad,True
dirección,"direction, address",NOUN,dirección,True
distancia,distance,NOUN,distancia,True
educación,education,NOUN,educación,True
elección,"election, choice",NOUN,elección,True
empresa,"firm, company, venture",NOUN,empresa,True
energía,"energy, power",NOUN,energía,True
enfermedad,"illness, sickness",NOUN,enfermedad,True
entrada,"entrance, admission ticket",NOUN,entrada,True
escuela,school,NOUN,escuela,True
esperanza,hope,NOUN,esperanza,True
esposa,wife,NOUN,esposa,True
etapa,"stage, period",NOUN,etapa,True
existencia,"existence, life",NOUN,existencia,True
explicación,explanation,NOUN,explicación,True
expresión,expression,NOUN,expresión,True
fecha,"date, day",NOUN,fecha,True
fiesta,"party, feast",NOUN,fiesta,True
flor,flower,NOUN,flor,True
formación,"formation, education",NOUN,formación,True
frase,phrase,NOUN,frase,True
fuente,"source, fountain",NOUN,fuente,True
función,"function, meeting",NOUN,función,True
generación,generation,NOUN,generación,True
hija,daughter,NOUN,hija,True
hoja,"sheet, leaf",NOUN,hoja,True
impresión,"impression, printing",NOUN,impresión,True
información,information,NOUN,información,True
intención,intention,NOUN,intención,True
investigación,investigation,NOUN,investigación,True
izquierda,left,NOUN,izquierda,True
labor,"labor, work, task",NOUN,labor,True
lectura,reading,NOUN,lectura,True
lengua,"language, tongue, strip of land",NOUN,lengua,True
letra,"letter, handwriting, lyrics",NOUN,letra,True
lucha,"fight, struggle, wrestle",NOUN,lucha,True
madera,wood,NOUN,madera,True
máquina,machine,NOUN,máquina,True
marcha,"march, progress",NOUN,marcha,True
masa,"mass, dough, bulk, crowd",NOUN,masa,True
materia,"matter, subject",NOUN,materia,True
mayoría,majority,NOUN,mayoría,True
memoria,memory,NOUN,memoria,True
mente,mind,NOUN,mente,True
mitad,"half, middle",NOUN,mitad,True
música,music,NOUN,música,True
naturaleza,nature,NOUN,naturaleza,True
nota,"note, grade",NOUN,nota,True
noticia,news,NOUN,noticia,True
operación,operation,NOUN,operación,True
opinión,"opinion, view",NOUN,opinión,True
oportunidad,"opportunity, chance",NOUN,oportunidad,True
pared,interior wall,NOUN,pared,True
pareja,"couple, pair",NOUN,pareja,True
paz,peace,NOUN,paz,True
película,"movie, film",NOUN,película,True
pena (valer la pena),trouble (be of worth),NOUN,Too many tokens,False
piedra,"stone, rock",NOUN,piedra,True
piel,"skin, hide, fur",NOUN,piel,True
pieza,"piece, part",NOUN,pieza,True
planta,"plant, floor",NOUN,planta,True
población,population,NOUN,población,True
política,"politics, policy",NOUN,política,True
posición,position,NOUN,posición,True
práctica,"practice, skill",NOUN,práctica,True
preocupación,"worry, concern",NOUN,preocupación,True
presencia,"presence, appearance",NOUN,presencia,True
presión,pressure,NOUN,presión,True
propiedad,property,NOUN,propiedad,True
prueba,"proof, trial, test",NOUN,prueba,True
responsabilidad,responsibility,NOUN,responsabilidad,True
reunión,"meeting, reunion",NOUN,reunión,True
revista,"magazine, journal",NOUN,revista,True
revolución,revolution,NOUN,revolución,True
sala,"room, hall",NOUN,sala,True
salida,"exit, escape, outcome",NOUN,salida,True
salud,health,NOUN,salud,True
sangre,blood,NOUN,sangre,True
santa,saint (f),NOUN,No examples found,False
seguridad,"security, safety",NOUN,seguridad,True
señora,"Mrs., lady, madam",NOUN,señora,True
serie,series,NOUN,serie,True
solución,"solution, answer",NOUN,solución,True
suerte,"luck, fortune",NOUN,suerte,True
tarea,"task, job",NOUN,tarea,True
teoría,theory,NOUN,teoría,True
tradición,tradition,NOUN,tradición,True
vía,"road, way",NOUN,vía,True
visión,vision,NOUN,visión,True
visita,"visit, visitor, guest",NOUN,visita,True
voluntad,"will, willpower, intention",NOUN,voluntad,True
